#PathwayID	Pathway name	Ontology all ancestors
PWY-6412	ginsenoside degradation II	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Ginsenoside Degradation
PWY-6818	ornithine lipid biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-6411	ginsenoside degradation I	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Ginsenoside Degradation
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5927	(4S)-carveol and (4S)-dihydrocarveol degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Carveol Degradation
PWY-321	cutin biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Cell Structure Biosynthesis|Plant Cell Structures|Epidermal Structures
PWY-5922	(4R)-carveol and (4R)-dihydrocarveol degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Carveol Degradation
PWY-7741	phthiocerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-6526	limonene degradation III (to perillate)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Limonene Degradation
PWY-5143	long-chain fatty acid activation	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Activation/Inactivation/Interconversion|Activation
PWY-5924	limonene degradation II (L-limonene)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Limonene Degradation
ORN-AMINOPENTANOATE-CAT-PWY	L-ornithine degradation I (L-proline biosynthesis)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-proline Biosynthesis|Degradation/Utilization/Assimilation|Amino Acid Degradation|Other Amino Acid Degradation
PWY-7744	dimycocerosyl phthiocerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5923	limonene degradation I (D-limonene)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Limonene Degradation
CITRULLINE-DEG-PWY	L-citrulline degradation	Degradation/Utilization/Assimilation|Amino Acid Degradation|Other Amino Acid Degradation
PWY-5884	wax esters biosynthesis I	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-8029	limonene degradation IV (anaerobic)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Limonene Degradation
PWY-8073	lipid IVA biosynthesis (P. putida)	Biosynthesis|Cell Structure Biosynthesis|Lipopolysaccharide Biosynthesis|Fatty Acid and Lipid Biosynthesis
P601-PWY	(+)-camphor degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Camphor Degradation
PWY-6453	stigma estolide biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-6989	(-)-camphor degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Camphor Degradation
PWY0-1264	biotin-carboxyl carrier protein assembly	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-4002	L-asparagine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-asparagine Degradation
LIPA-CORESYN-PWY	lipid A-core biosynthesis (E. coli K-12)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Glycan Pathways|Carbohydrate Biosynthesis|Glycan Biosynthesis
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-asparagine Degradation
PWY-6804	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	Biosynthesis|Fatty Acid and Lipid Biosynthesis
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-asparagine Degradation
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-282	cuticular wax biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Cell Structure Biosynthesis|Plant Cell Structures|Epidermal Structures
PWY-5081	L-tryptophan degradation VIII (to tryptophol)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-7740	&beta;-D-mannosyl phosphomycoketide biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-5142	acyl-[acyl-carrier protein] thioesterase pathway	Biosynthesis|Fatty Acid and Lipid Biosynthesis
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-7743	dimycocerosyl triglycosyl phenolphthiocerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-5670	epoxysqualene biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Triterpenoid Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-3162	L-tryptophan degradation V (side chain pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-7746	mycobacterial sulfolipid biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tryptophan Degradation
PWY-6129	dolichol and dolichyl phosphate biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation
PWY-8082	glycine lipid biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-4321	L-glutamate degradation IV	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation
PWY-6803	phosphatidylcholine acyl editing	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5766	L-glutamate degradation X	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation
PWYQT-4427	sulfoquinovosyl diacylglycerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
GLUTDEG-PWY	L-glutamate degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation
NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	Biosynthesis|Cell Structure Biosynthesis|Lipopolysaccharide Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5087	L-glutamate degradation VI (to pyruvate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation
PWY-7420	monoacylglycerol metabolism (yeast)	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5030	L-histidine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-7742	phenolphthiocerol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
HISDEG-PWY	L-histidine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-5148	acyl-CoA hydrolysis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
PWY-5028	L-histidine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-7745	p-HBAD biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis
HISTDEG-PWY	L-histidine degradation IV	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-7652	echinocandin B degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Antibiotic degradation
PWY-5031	L-histidine degradation V	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-8156	omphalotin biosynthesis	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Antibiotic degradation
HISHP-PWY	L-histidine degradation VI	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-histidine Degradation
PWY-7133	quercetin glucoside degradation (Allium)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Flavonoid Degradation
PWY-6498	eumelanin biosynthesis	Biosynthesis|Other Biosynthesis
PWY-5075	L-leucine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-leucine Degradation
PWY-6996	daidzin and daidzein degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Flavonoid Degradation
PWY-7442	drosopterin and aurodrosopterin biosynthesis	Biosynthesis|Other Biosynthesis
LEU-DEG2-PWY	L-leucine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-leucine Degradation
PWY-7445	luteolin triglucuronide degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Flavonoid Degradation
PWY-6481	L-dopa and L-dopachrome biosynthesis	Biosynthesis|Other Biosynthesis
PWY-5076	L-leucine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-leucine Degradation
PWY-6848	rutin degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Flavonoid Degradation
PWY-6871	3-methylbutanol biosynthesis (engineered)	Biosynthesis|Other Biosynthesis
PWY-7158	L-phenylalanine degradation V	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-phenylalanine Degradation
PWY-7134	rutin degradation (plants)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Flavonoid Degradation
PWY-8043	ophthalmate biosynthesis	Biosynthesis|Other Biosynthesis
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-phenylalanine Degradation
PWY-7635	kievitone detoxification	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Phytoalexin Degradation
PWY-6730	methylhalides biosynthesis (plants)	Biosynthesis|Other Biosynthesis
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-phenylalanine Degradation
PWY-7917	pheomelanin biosynthesis	Biosynthesis|Other Biosynthesis
PWY-5079	L-phenylalanine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-phenylalanine Degradation
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-phenylalanine Degradation
AST-PWY	L-arginine degradation II (AST pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-5024	L-arginine degradation XI	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-6678	geraniol and nerol degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
PWY-7523	L-arginine degradation XII	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
6-HYDROXYCINEOLE-DEGRADATION-PWY	1,8-cineole degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-6672	cis-geranyl-CoA degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-7136	&beta; myrcene degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-6670	citronellol degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-6413	ginsenoside degradation III	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation
PWY-5437	L-threonine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-threonine Degradation
PWY-116	coniferin metabolism	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Lignin Biosynthesis
PWY-5436	L-threonine degradation IV	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-threonine Degradation
PWY-6667	resveratrol degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-threonine Degradation
PWY-6343	ferulate degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
PWY66-428	L-threonine degradation V	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-threonine Degradation
PWY-7113	furcatin degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
THREONINE-DEG2-PWY	L-threonine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-threonine Degradation
PWY-8003	trans-caffeate degradation (aerobic)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
PWY-7534	gliotoxin inactivation	Biosynthesis|Secondary Metabolite Biosynthesis
CYSTEINE-DEG-PWY	L-cysteine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-cysteine Degradation
PWY-5319	coumarin metabolism (to melilotic acid)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-7599	anditomin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5329	L-cysteine degradation III	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Hydrogen Sulfide Biosynthesis|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-cysteine Degradation
PWY-7046	4-coumarate degradation (anaerobic)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
PWY-6660	2-heptyl-3-hydroxy-4(1H)-quinolone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
LCYSDEG-PWY	L-cysteine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-cysteine Degradation
PWY-8002	4-coumarate degradation (aerobic)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
PWY-7861	N-hydroxy-L-pipecolate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
VALDEG-PWY	L-valine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-valine Degradation
PWY-1501	mandelate degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Mandelate Degradation
PWY-6699	oxalate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5057	L-valine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-valine Degradation
PWY-8019	2-hydroxyparaconate and itatartarate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
GLYCLEAV-PWY	glycine cleavage	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|Glycine Degradation
PWY-6920	6-gingerol analog biosynthesis (engineered)	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5078	L-isoleucine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-isoleucine Degradation
PWY-7236	mycocyclosin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
ILEUDEG-PWY	L-isoleucine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-isoleucine Degradation
PWY-5957	L-nicotianamine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Amino Acid Biosynthesis|Other Amino Acid Biosynthesis
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-methionine Degradation
PWY-7628	2,4-dinitroanisole degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nitroaromatic Compound Degradation
PWY-7556	(-)-microperfuranone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-701	L-methionine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-methionine Degradation
PWY-7403	tetramethylpyrazine degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nitroaromatic Compound Degradation
PWY-6069	indigo biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5082	L-methionine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-methionine Degradation
PWY-7044	5-nitroanthranilate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nitroaromatic Compound Degradation
PWY-7752	gadusol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
ALADEG-PWY	L-alanine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-alanine Degradation
PWY-7955	paerucumarin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-alanine Degradation
PWY-6802	salidroside biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
ALANINE-DEG3-PWY	L-alanine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-alanine Degradation
PWY8J2-20	pulcherrimin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY1-2	L-alanine degradation IV	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-alanine Degradation
PWY-2421	indole-3-acetate degradation I	Degradation/Utilization/Assimilation|Hormone Degradation|Plant Hormone Degradation|Aromatic Compound Degradation|Indole-3-acetate Degradation
PWY-7153	grixazone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
SERDEG-PWY	L-serine degradation	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-serine Degradation
PWY-8087	indole-3-acetate degradation II	Degradation/Utilization/Assimilation|Hormone Degradation|Plant Hormone Degradation|Aromatic Compound Degradation|Indole-3-acetate Degradation
PWY-5935	1-tuberculosinyladenosine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
ASPARTATE-DEG1-PWY	L-aspartate degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-aspartate Degradation
PWY-6416	quinate degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Quinate Degradation
PWY-7536	2-amino-3-hydroxycyclopent-2-enone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tyrosine Degradation
QUINATEDEG-PWY	quinate degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Quinate Degradation
PWY-6068	indican biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
TYRFUMCAT-PWY	L-tyrosine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tyrosine Degradation
P183-PWY	catechol degradation to 2-hydroxypentadienoate I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Catechol Degradation
PWY-7751	shinorine biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5151	L-tyrosine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tyrosine Degradation
PWY-5419	catechol degradation to 2-hydroxypentadienoate II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Catechol Degradation
PWY-6661	4-hydroxy-2(1H)-quinolone biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY3O-4108	L-tyrosine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-tyrosine Degradation
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Catechol Degradation
PWY-7936	psilocybin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
GLUTAMINEFUM-PWY	L-glutamine degradation II	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamine Degradation
PWY-6703	preQ0 biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
GLUTAMINDEG-PWY	L-glutamine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamine Degradation
DESULFONATION-PWY	benzenesulfonate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Sulfoaromatic Compound Degradation
PWY-8158	ibotenate and muscimol biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-5311	L-lysine degradation VII	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-7521	3-(4-sulfophenyl)butanoate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Sulfoaromatic Compound Degradation
PWY-7040	violacein biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY66-425	L-lysine degradation II (L-pipecolate pathway)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-6041	4-sulfocatechol degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Sulfoaromatic Compound Degradation
PWY490-4	L-asparagine biosynthesis III (tRNA-dependent)	Biosynthesis|Aminoacyl-tRNA Charging|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-asparagine Biosynthesis
PWY-5298	L-lysine degradation VI	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Fluorene Degradation
PWY-6308	L-cysteine biosynthesis II (tRNA-dependent)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-cysteine Biosynthesis|Aminoacyl-tRNA Charging
PWY-5324	L-lysine degradation IX	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-1381	fluorene degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Fluorene Degradation
PWY-5921	glutaminyl-tRNAgln biosynthesis via transamidation	Biosynthesis|Aminoacyl-tRNA Charging
PWY0-461	L-lysine degradation I	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-7098	vanillin and vanillate degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Vanillin Degradation
LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-7097	vanillin and vanillate degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Vanillin Degradation
PWY-5283	L-lysine degradation V	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-7469	gentisate degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Gentisate Degradation
PWY-5314	L-lysine degradation VIII	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-6223	gentisate degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Gentisate Degradation
PWY-6328	L-lysine degradation X	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-5033	nicotinate degradation II	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nicotinate Degradation
LYSDEGII-PWY	L-lysine degradation III	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
PWY-722	nicotinate degradation I	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Nicotinate Degradation
PWY-5280	L-lysine degradation IV	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-lysine Degradation
